Turn	Rank_First	Rank_Second	Rank_Third
Ses02M_script02_2_F032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro05_F025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script02_1_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_F043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro01_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro07_M013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_1_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro02_M020	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script01_2_F007	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_1_M034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M013	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04M_script02_2_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_M040	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script02_2_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_1_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_F018	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script01_3_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_1_F019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro04_F001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro03_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08a_M015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro04_F023	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_impro06_M008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_script02_2_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro01_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_F041	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro04_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro03_F041	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script02_1_M035	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script03_2_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_2_M008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script01_3_M042	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_1_F001	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_3_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08b_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_M017	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro02_M012	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro05_F039	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro07_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_F003	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1_F020	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro08_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_F039	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro07_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro01_M010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script03_2_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_3_F027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script02_2_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F003	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script03_1_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro06_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro06_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro06_M011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro07_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_F037	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script02_2_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_1_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro07_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro01_F015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro01_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro07_M042	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro03_M010	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_script02_1_M031	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script02_2_F014	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script01_3_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_M020	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_script02_1_M016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_1_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_1_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro06_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro04_M010	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1b_M013	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_1_M009	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_impro01_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script02_1_M017	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script02_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_M019	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script01_1_F007	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script03_2_M000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script02_2_M031	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script03_2_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro06_M011	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro02_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_F042	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_1_M024	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script01_1_F032	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script02_2_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_2_F000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script03_2_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_1_M026	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_3_F006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script01_3_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_1_M001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro08a_M018	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_script03_1_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_M009	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro07_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro06_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_F038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro04_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_F012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script03_2_F007	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_script01_3_F021	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro08b_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_F046	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_M005	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro03_M056	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script01_3_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_F007	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05F_impro04_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_F011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro03_F017	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro03_M015	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro06_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_1_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro07_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_F048	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro02_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro06_M015	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_impro07_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_M022	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_script03_2_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_F012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro03_M012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script02_2_M030	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro01_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro07_M016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script03_2_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_impro01_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_M009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_1_M025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_script02_2_F012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script02_1_M045	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro01_M013	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script02_1_F019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script02_1_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_F033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_M001	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_impro05_M022	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_script02_2_M040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro02_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_1_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro08_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro06_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_F005	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro03_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_M016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script01_1_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_1_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro05_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_M040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_M036	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script01_2_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro06_M002	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_script03_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro05_M027	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script02_2_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro03_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_F012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script03_1_M008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script03_1_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_1_M014	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script03_2_F014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script03_1_M023	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro05_F008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro05_F000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro01_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro01_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_M036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro06_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_2_F038	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_impro05_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro06_M019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro01_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script01_3_M022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro03_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_M019	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro05_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro01_M023	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script02_2_F011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro04_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script02_2_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_1_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_F038	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro03_M032	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro01_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro07_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F031	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_impro08_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro07_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_F003	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script03_1_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro07_M015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script01_3_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_M030	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script03_2_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro06_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro08_M017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro02_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_2_M003	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_script01_3_M021	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro05_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro08_F014	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script03_2_F000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script03_2_F044	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03M_script03_1_F029	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro05_M034	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script01_3_F016	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02F_impro04_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_F038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_M016	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_script02_2_M031	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro01_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_3_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_M017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_M017	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script03_2_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_M023	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro05_F018	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02M_script01_1_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_M027	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_impro08_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro04_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro02_M008	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script02_2_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_1_M031	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro03_F025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_2_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro05_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_2_F045	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_F007	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_impro08_M012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro04_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_M016	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script02_1_M014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_script02_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro05_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_M031	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_impro07_F072	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script01_3_F013	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script01_2_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_1_F005	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_impro05_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro01_M002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro01_F008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script01_1_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro01_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script02_2_F038	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script01_1_M042	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro06_M009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script01_2_F016	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05M_script02_2_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F039	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_script01_3_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_M031	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script01_2_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro04_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro08_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_1_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro03_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro04_F033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro02_F021	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script03_2_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script02_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_F004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro05_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_M027	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
