Dia	Utt	Rank_First	Rank_Second	Rank_Third
784	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
786	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
786	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
786	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
786	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
786	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
787	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
787	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
787	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
787	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
787	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
787	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
790	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
790	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
790	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
790	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
791	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
791	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
791	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
791	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
792	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
792	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
792	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
792	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
793	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
793	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
793	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
793	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
793	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
793	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
793	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
793	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
793	13	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
795	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
795	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
795	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
795	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
796	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
796	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
796	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
796	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
796	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
796	12	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
796	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
796	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
799	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
799	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
799	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
799	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
799	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
800	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
800	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
800	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
800	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
801	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
801	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
801	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
801	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
801	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
802	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
802	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
802	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
803	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
803	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
803	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
803	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
803	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
803	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
803	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
803	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
804	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
804	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
804	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
804	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
805	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
805	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
805	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
805	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	16	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
805	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	20	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	21	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	24	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	26	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	27	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	30	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
805	31	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	32	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	34	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
805	35	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	36	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	37	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	38	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	39	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	40	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
805	41	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
805	42	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
805	43	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	44	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
805	45	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	46	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	47	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	48	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	49	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	50	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	51	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
805	52	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
806	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
806	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
806	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
806	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
806	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
806	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
806	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
806	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
806	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
807	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
807	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
807	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
807	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
807	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
807	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
810	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
810	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
810	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
817	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
817	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	12	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
817	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
817	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
820	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
820	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
820	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
820	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
820	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
820	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
821	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
821	3	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
821	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
821	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
821	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
821	13	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
821	14	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
823	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
823	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
823	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
823	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
823	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
823	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
823	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
824	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
824	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
824	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
824	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
824	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
824	10	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
824	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
824	13	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
824	14	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
824	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
824	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
824	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
825	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
825	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
825	13	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
825	14	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
825	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
826	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
826	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
826	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
827	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
827	17	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
828	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
828	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
828	17	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
828	18	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
828	19	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
831	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
831	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
831	15	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
831	19	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
832	2	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
832	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
832	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
832	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
832	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
832	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
832	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
832	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
833	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
833	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
833	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
833	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
833	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
833	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
833	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
833	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
835	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
835	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
835	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
835	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
835	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
836	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
836	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
836	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
836	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
836	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
837	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
837	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
837	5	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
837	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
838	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
838	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
838	2	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
838	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
838	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
838	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
839	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
839	9	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
839	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
839	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
839	16	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
839	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
841	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
842	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
843	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
843	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
843	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
845	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
845	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
845	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
845	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
846	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
846	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
846	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
847	7	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
847	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
847	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
848	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
848	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
849	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
849	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
849	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
849	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
849	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
849	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
850	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
850	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
850	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
850	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
850	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
852	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
852	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
852	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
852	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
852	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
852	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
852	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
852	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
852	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
852	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
854	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
854	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
854	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
854	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
854	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
854	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
855	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
855	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
855	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
855	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
855	7	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
856	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
856	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
856	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
856	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
856	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
856	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
857	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
857	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
858	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
858	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
858	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
858	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
858	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
858	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
858	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
860	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
863	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
863	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
863	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
863	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
863	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
863	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
863	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
865	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
865	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
865	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
866	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
866	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
866	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
866	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
866	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
866	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
