TURN	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script01_2_M016	The woman is sitting in one of the chairs, holding a microphone and speaking into it. She occasionally gestures with her hands to emphasize her points. The man is sitting in the other chair, listening attentively and occasionally nodding his head.	The woman appears confident and engaged in the conversation, while the man seems relaxed and interested in what she is saying. Both speakers maintain a professional demeanor throughout the video.	The woman and man seem to be having a one-on-one interview or discussion, as they are the only two individuals in the room. They maintain eye contact and engage in a focused conversation.
Ses05M_script01_3_F005	The man and woman are engaged in a conversation, with both parties actively participating in the discussion. They maintain eye contact throughout the conversation and occasionally gesture to emphasize their points. The man is seen nodding his head in agreement at certain points, while the woman maintains a more neutral expression.	The man appears to be more engaged in the conversation, as evidenced by his nodding and occasional smiles. The woman, on the other hand, maintains a more serious expression, with her eyebrows occasionally furrowed in concentration.	The conversation between the man and woman is the primary focus of the video, with no other individuals present in the scene. The speakers appear to be comfortable with each other, suggesting a familiar relationship.
Ses04M_script01_3_M007	Both speakers are engaged in a conversation, with the woman occasionally leaning forward and gesturing with her hands. The man is sitting upright, with his hands resting on the desk.	The woman appears to be calm and composed, with a neutral facial expression. The man seems to be more animated, occasionally smiling and nodding his head.	The speakers are the only individuals in the scene, and their interaction is focused on the conversation. There is no visible tension or familiarity between them.
Ses04M_impro05_M019	The speakers are engaged in a conversation, with one person speaking and the other listening attentively. Both speakers occasionally gesture with their hands to emphasize their points.	The speakers maintain a composed and serious demeanor throughout the conversation. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The speakers appear to be having a one-on-one conversation, with no other individuals present in the scene. Their interaction is professional and focused on the discussion at hand.
Ses01F_impro04_M026	The woman is seen speaking to the camera, while the man is also speaking. Both are engaged in a conversation, occasionally gesturing with their hands to emphasize their points.	The woman appears calm and composed, while the man seems more animated and expressive. Both speakers maintain eye contact with the camera throughout the video.	There is no visible interaction between the speakers and any other individuals. They seem to be addressing the camera directly.
Ses02M_script02_2_M045	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally minimal. The woman is sitting across from him, holding a microphone and occasionally nodding her head or leaning forward to emphasize a point.	Both speakers appear calm and composed throughout the video. Their facial expressions are generally neutral, with occasional slight smiles or frowns.	The two speakers seem to be engaged in a serious conversation, but there is no visible tension or hostility between them. They appear to be listening to each other and responding in a respectful manner.
Ses03M_script01_2_F015	The speakers are engaged in a conversation, with one of them occasionally gesturing with their hands to emphasize a point. Both speakers maintain a relaxed posture throughout the video.	The speakers appear calm and composed, with no visible signs of strong emotions. Their facial expressions are neutral, and their tone of voice is measured and controlled.	The speakers are the only individuals in the scene, and there is no interaction with others. However, their body language and tone of voice suggest that they are engaged in a serious and focused conversation.
Ses03F_script01_1_M021	The woman is sitting in a chair with her hands resting on her lap. She occasionally gestures with her hands as she speaks, but her movements are generally subtle. The man is sitting on a stool and holding a piece of paper in his hand. He occasionally looks down at the paper while speaking, but he also gestures with his hands and occasionally leans forward to emphasize a point.	Both the woman and the man appear to be calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The woman and the man are engaged in a conversation, but there are no other individuals visible in the video. They appear to be focused on each other and the discussion at hand.
Ses03M_impro08a_F032	The man is sitting in the black chair, while the woman is sitting in a chair in the background. Both are facing each other and engaged in conversation. The man occasionally gestures with his hands, while the woman remains still.	The man appears calm and composed, while the woman displays a range of emotions, including surprise, concern, and amusement. Her facial expressions change throughout the conversation, reflecting her reactions to the man's words.	The man and woman seem to be having a serious conversation, possibly discussing an important matter. They maintain eye contact and appear to be actively listening to each other.
Ses05M_impro02_M021	The man is gesturing with his hands as he talks, and the other person is nodding and occasionally smiling. There are no physical interactions between the characters.	Both characters appear to be relaxed and engaged in a friendly conversation. They are smiling and making eye contact throughout the video.	The man and the other person seem to be having a casual conversation, possibly about personal matters. There is no visible tension or formality in their interaction.
Ses03F_script02_1_M020	The woman is sitting in one of the chairs, while the man is sitting in the other. Both are facing each other and appear to be engaged in a conversation. The woman is occasionally gesturing with her hands, while the man is mostly sitting still.	The woman's facial expressions are mostly neutral, but she occasionally smiles. The man appears to be more serious and is mostly looking straight ahead.	The two speakers seem to be having a friendly conversation, as they are sitting close to each other and occasionally exchange smiles.
Ses05F_impro04_F000	The woman is sitting in the black chair, wearing a black hat. She is looking straight ahead and occasionally nods her head. The man is standing behind her, wearing a black shirt. He occasionally shifts his weight from one foot to the other.	Both the woman and the man appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man do not interact with each other or with any other individuals in the scene. They seem to be engaged in a monologue rather than a conversation.
Ses03M_impro02_F002	The man and woman are engaged in a conversation, with both parties actively participating. The man is seen gesturing with his hands, while the woman occasionally leans forward to emphasize a point. At one point, the man looks directly at the camera, while the woman maintains eye contact with the man throughout the conversation.	Both the man and woman appear to be engaged and invested in the conversation. The man's facial expressions range from serious to thoughtful, while the woman maintains a calm and composed demeanor.	The interaction between the man and woman is professional and focused. There is no visible tension or familiarity between the two, suggesting that they may be colleagues or business partners.
Ses01F_script03_2_M037	The woman is sitting in a chair, while the man is standing. Both are facing each other and engaged in a conversation. The woman occasionally gestures with her hands, while the man remains relatively still.	The woman appears to be calm and composed, while the man seems to be more serious and focused. Both speakers maintain eye contact throughout the conversation.	There is no interaction with others in the scene. The focus is solely on the conversation between the woman and the man.
Ses03M_impro01_M027	The speakers are engaged in a conversation, gesturing with their hands to emphasize their points. They occasionally lean forward or back, indicating a change in the intensity of their conversation.	Both speakers appear to be calm and composed, with neutral facial expressions. However, their tone of voice varies, suggesting that they are discussing different topics or expressing different levels of interest.	The speakers are focused on each other, maintaining eye contact throughout the conversation. They occasionally nod or smile, indicating agreement or understanding.
Ses02F_impro03_F008	The woman is seen gesturing with her hands as she speaks, while the man listens attentively. At one point, the man leans forward and speaks directly into the microphone.	Both speakers appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The speakers seem to be engaged in a serious conversation, but there is no visible tension or hostility between them. They appear to be listening to each other and responding in a respectful manner.
Ses03F_script01_3_M003	The woman is sitting in the chair and speaking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting on a couch and listening attentively, occasionally nodding his head.	The woman appears confident and engaged in the conversation, while the man seems relaxed and interested. Both speakers maintain a professional demeanor throughout the video.	The speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. They appear to be comfortable with each other and are actively engaged in the discussion.
Ses01F_impro06_F017	The woman is seen smiling and nodding her head in agreement while the man is speaking. She occasionally leans forward to emphasize her points, and the man listens attentively while maintaining eye contact with her.	Both the woman and the man appear to be in good spirits, with the woman smiling and the man maintaining a neutral expression. Their tone of voice is friendly and engaging, suggesting a positive and productive conversation.	The woman and the man seem to be engaged in a one-on-one conversation, with no other individuals visible in the frame. Their body language and facial expressions indicate a comfortable and familiar relationship, suggesting they may be friends or colleagues.
Ses04F_script03_1_M010	The woman is sitting in a chair, leaning slightly forward with her hands resting on her lap. The man is sitting at a desk, holding a piece of paper in his hand. Both speakers appear to be engaged in a conversation, maintaining eye contact and occasionally gesturing with their hands.	The woman's facial expression is neutral, while the man's expression is more animated, suggesting he is explaining something with enthusiasm.	There is no visible interaction between the speakers and other individuals in the scene. They seem to be focused solely on their conversation.
Ses01F_impro04_M017	The woman is seen sitting in a chair, while the man is sitting on a couch. Both are facing each other and engaged in a conversation. The woman occasionally gestures with her hands, while the man remains relatively still.	The woman appears to be calm and composed, with a neutral facial expression. The man, on the other hand, seems more serious and focused, with a slight frown on his face.	The two characters seem to be having a serious conversation, but there are no visible signs of tension or conflict. They appear to be listening to each other attentively and maintaining a respectful distance.
Ses03F_script02_1_M028	The woman is seated in a chair, while the man is standing behind a desk. Both are holding papers and occasionally refer to them during their conversation. The woman is seen nodding her head and occasionally gesturing with her hands, while the man is mostly standing still, occasionally shuffling his feet.	The woman appears calm and composed, with a neutral facial expression. The man, on the other hand, seems more engaged in the conversation, occasionally raising his voice and displaying a range of emotions.	The speakers seem to be engaged in a professional conversation, possibly discussing work-related matters. They appear to be listening to each other and occasionally exchanging ideas.
Ses02M_script02_1_M007	The woman is sitting in one of the chairs and speaking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting in the other chair, listening attentively and occasionally nodding his head.	The woman appears confident and engaged in the conversation, while the man seems thoughtful and contemplative. Both speakers maintain a professional demeanor throughout the video.	The woman and man seem to have a professional relationship, as they engage in a focused and productive conversation. There is no visible tension or hostility between them.
Ses05M_script02_1_F003	The man is sitting in a chair and talking to the camera. He occasionally gestures with his hands to emphasize his points. The woman is sitting in a chair and talking to the man. She occasionally looks at the man and nods her head in agreement.	Both the man and the woman appear calm and composed throughout the video. They maintain a neutral facial expression and do not show any strong emotions.	The man and the woman seem to be engaged in a friendly conversation. They appear to be comfortable with each other and are actively listening to one another.
Ses02M_impro07_F015	The man is sitting in one of the chairs, wearing a green shirt and a black hat. He is gesturing with his hands as he speaks, occasionally leaning forward to emphasize his points. The woman is sitting in the other chair, wearing a purple tank top and a black wristband. She is listening attentively and occasionally nodding her head.	Both the man and the woman appear to be engaged in a serious conversation. The man's facial expressions convey a sense of earnestness and conviction, while the woman's expressions suggest that she is carefully considering the man's words.	The interaction between the man and the woman appears to be respectful and professional. They are facing each other and maintaining eye contact throughout the conversation.
Ses01M_impro06_M010	The man is sitting in a chair with his arms crossed, while the woman is sitting in a different chair with her legs crossed. Both characters are facing each other and appear to be engaged in a conversation.	The man's facial expression is neutral, while the woman's expression is more animated. She seems to be making a point or expressing an opinion.	The two characters appear to be having a serious conversation, possibly discussing a work-related issue or a personal matter. They are both attentive and engaged in the discussion.
Ses03F_impro02_F018	The man and woman are sitting opposite each other, with the man occasionally leaning forward to emphasize a point. The woman remains seated, listening attentively to the man's words.	The man appears to be calm and composed, while the woman displays a range of emotions, including concern and curiosity. Both speakers maintain a serious tone throughout the conversation.	The video does not show any other individuals in the scene, so there is no interaction between the speakers and others.
Ses05F_script01_2_M009	Both speakers are sitting in the black chair, facing the camera. They are engaged in a conversation, occasionally gesturing with their hands to emphasize their points. Their posture is relaxed, and they appear to be comfortable and at ease.	The speakers' facial expressions are mostly neutral, with occasional slight smiles or frowns. They seem to be discussing a topic of interest, but their emotions are not particularly intense or volatile.	There is no visible interaction with others in the scene. The speakers are focused solely on their conversation.
Ses02M_impro05_M024	The man is seen gesturing with his hands, while the woman is holding a microphone and speaking into it. Both individuals appear to be actively engaged in the conversation.	The man's facial expressions are mostly neutral, while the woman seems to be expressing a range of emotions, including excitement and enthusiasm.	The video does not show any other individuals in the scene, so there is no interaction between the speakers and others.
Ses04F_impro03_F004	The woman is seen talking and gesturing with her hands, while the man is standing still and listening attentively. At one point, he raises his hand to his mouth, possibly indicating that he is thinking or about to speak.	Both the woman and the man appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man seem to be engaged in a conversation, but there is no visible interaction with other individuals in the scene.
Ses03M_impro06_M031	The man is sitting still with his arms crossed, while the woman is gesturing with her hands as she speaks. She leans forward at times to emphasize her points.	Both the man and the woman appear to be serious and engaged in the conversation. They maintain a neutral facial expression throughout the video.	The man and the woman are the only two individuals in the scene. They appear to be having a serious conversation, but there is no visible tension or hostility between them.
Ses02M_script03_1_F005	The woman is sitting in one of the chairs, leaning forward with her hands clasped. She occasionally nods her head and makes small gestures with her hands. The man is standing behind the desk, occasionally leaning on it with his hands in his pockets. He occasionally gestures with his hands as he speaks.	Both the woman and the man appear calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and professional.	The woman and the man seem to be engaged in a serious conversation. They maintain eye contact and occasionally exchange brief glances. There is no visible tension or hostility between them.
Ses04M_impro03_F015	Both the man and the woman are engaged in a conversation, with the woman occasionally gesturing with her hands to emphasize her points. The man remains relatively still, with only minor movements visible throughout the video.	The woman appears to be quite passionate about the conversation, with visible facial expressions reflecting her emotions. The man, on the other hand, maintains a more neutral expression throughout the video.	The interaction between the speakers is quite professional, with both individuals maintaining a formal tone throughout the conversation. There are no visible signs of tension or familiarity between them.
Ses03F_script01_1_F052	Throughout the video, both individuals are engaged in a conversation. The woman is seen gesturing with her hands, while the man is taking notes on the paper. At one point, the man leans forward and speaks directly to the camera.	The woman appears to be calm and composed, while the man seems focused and attentive. Both individuals maintain a professional demeanor throughout the conversation.	The video does not show any interaction with other individuals. The focus remains solely on the conversation between the man and the woman.
Ses02M_impro01_M000	The woman is sitting in a chair, facing the camera, and speaking into a microphone. She occasionally gestures with her hands to emphasize her points. The man is also sitting in a chair, but he is looking down and speaking into a microphone. He occasionally looks up and makes eye contact with the woman.	Both speakers appear calm and composed throughout the video. They do not show any strong emotions or facial expressions.	The two speakers seem to be engaged in a serious conversation, but there is no visible tension or hostility between them. They appear to be listening to each other and responding in a respectful manner.
Ses01M_script01_1_F036	The man is sitting in a chair and the woman is standing next to him. The man is looking straight ahead while the woman is occasionally glancing down at her clipboard.	Both the man and the woman appear calm and focused. The man's facial expression is neutral while the woman's expression is slightly concerned.	The man and the woman seem to be engaged in a serious conversation. The woman occasionally gestures towards the man, possibly to emphasize a point.
Ses04F_script02_2_F013	The woman is speaking into the microphone, using her hands to emphasize her points. The man is sitting still, listening attentively and occasionally nodding his head.	The woman appears to be passionate and engaged in the conversation, while the man maintains a calm and composed demeanor.	The two speakers seem to be having a serious and focused conversation, with no visible signs of tension or disagreement.
Ses04F_script03_2_M043	The woman is sitting in a chair, occasionally gesturing with her hands. The man is sitting at a desk, holding a piece of paper and occasionally glancing down at it. Both speakers maintain a relatively static posture throughout the video.	The woman's facial expressions are mostly neutral, with occasional slight smiles. The man appears more serious, with a focused expression as he reads from the paper.	There is no visible interaction between the speakers and other individuals in the scene. They seem to be engaged in a one-on-one conversation.
Ses02M_script03_1_F000	The man is seen gesturing with his hands while speaking, indicating that he is actively engaged in the conversation. The woman listens attentively and occasionally nods her head in agreement.	Both speakers maintain a composed demeanor throughout the video, with no visible signs of strong emotions. Their facial expressions are neutral, and their tone of voice is measured and controlled.	The man and woman seem to have a friendly relationship, as evidenced by their relaxed posture and occasional smiles. They engage in a back-and-forth conversation, taking turns to speak.
Ses04M_impro07_M004	The speakers are engaged in a conversation, with both of them talking and gesturing with their hands. They appear to be relaxed and comfortable, with no visible signs of tension or discomfort.	Both speakers seem to be in good spirits, with smiles on their faces and occasional laughter. They appear to be enjoying the conversation and each other's company.	The speakers are the only individuals in the scene, and their interaction is focused solely on each other. They appear to be engaged in a friendly and informal conversation.
Ses05M_impro03_F013	The man and woman are sitting in the chairs, facing each other. They are engaged in a conversation, with both parties actively participating in the discussion. The man occasionally gestures with his hands to emphasize his points, while the woman listens attentively and occasionally nods her head.	Both the man and woman appear to be relaxed and comfortable in each other's presence. They maintain a friendly demeanor throughout the conversation, with occasional smiles and laughter.	The man and woman seem to be having a private conversation, as they are the only two individuals in the room. Their interaction is cordial and respectful, with no visible signs of tension or conflict.
Ses01F_script01_3_M018	The woman is sitting in a chair and talking to the man, who is also sitting in a chair. They are both holding cups, and the woman is occasionally gesturing with her hands. The man is listening and occasionally nodding his head.	Both the woman and the man are smiling throughout the conversation, indicating a friendly and positive atmosphere. The woman's facial expressions are more animated, while the man's are more subdued.	The woman and the man are the only two people in the room, and they seem to be engaged in a friendly conversation. There is no visible tension or formality between them.
Ses05M_script01_2_F007	The man is sitting on one side of the table, while the woman is sitting on the other. Both are facing each other and appear to be engaged in a conversation. The man is gesturing with his hands, while the woman is nodding her head and occasionally leaning forward.	Both the man and the woman seem to be calm and composed. They are maintaining eye contact and their facial expressions are neutral.	The man and the woman appear to be having a one-on-one conversation. They are not interacting with anyone else in the scene.
Ses02F_impro05_F022	The woman is sitting in a chair, occasionally gesturing with her hands as she speaks. The man is sitting on a couch, leaning forward with his elbows on his knees. He occasionally nods his head and looks at the woman as she speaks.	Both speakers appear calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The two speakers are engaged in a conversation, and there is no visible interaction with other individuals in the scene.
Ses03F_impro05_F014	Throughout the video, both the man and the woman are engaged in a conversation. They appear to be relaxed and comfortable, gesturing with their hands as they speak. The woman is seen smiling at certain points, while the man maintains a neutral expression.	The woman's facial expressions suggest that she is enjoying the conversation, while the man's expression remains relatively flat. Both speakers seem to be at ease and are not displaying any strong emotions.	The video does not show any interaction between the speakers and other individuals. They are solely focused on their conversation.
Ses05M_script02_2_F008	The man is sitting in the black chair, wearing a black shirt. He is nodding his head and occasionally gesturing with his hands. The woman is sitting at the table, wearing a gray sweater. She is looking at the man and occasionally nodding her head.	Both the man and the woman appear calm and composed throughout the video. They are not displaying any strong emotions or facial expressions.	The man and the woman seem to be engaged in a conversation. They are facing each other and occasionally nodding or gesturing to emphasize their points.
Ses02M_impro03_F003	The man is seen sitting in a chair, while the woman is standing beside him. Both are actively engaged in the conversation, with the woman occasionally gesturing with her hands to emphasize her points.	The speakers appear to be calm and composed throughout the conversation. Their facial expressions are neutral, and their tone of voice is measured and controlled.	The conversation between the man and the woman seems to be a friendly and informal exchange. They appear to be comfortable with each other and are actively listening to one another.
Ses01M_script02_2_F026	The man is seen wearing a headset and speaking to the camera, while the woman is sitting in a chair and listening attentively. Both characters maintain a stationary position throughout the video.	The man appears to be engaged in a conversation, as he maintains a steady gaze and uses hand gestures to emphasize his points. The woman, on the other hand, maintains a neutral expression and occasionally nods her head in agreement.	The video does not show any other individuals in the scene, so there is no interaction between the speakers and others.
Ses02F_script02_2_F023	Both speakers are sitting upright, facing each other. They appear to be engaged in a serious conversation, with occasional gestures to emphasize their points. The woman is seen nodding her head in agreement, while the man is seen leaning forward to make a point.	Both speakers maintain a composed demeanor throughout the conversation. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	There is no interaction with others in the scene. The focus is solely on the conversation between the two speakers.
Ses02F_script02_1_M019	The woman is sitting in one of the chairs, leaning forward with her hands resting on her lap. The man is standing behind the table, occasionally gesturing with his hands as he speaks. Both characters appear engaged in the conversation.	The woman maintains a neutral expression throughout the video, while the man occasionally smiles and looks directly at the camera. Their tone of voice is calm and composed, suggesting a serious and focused discussion.	The two characters are the only individuals present in the scene. They appear to be having a one-on-one conversation, with no visible signs of tension or disagreement.
Ses01F_script02_2_M049	The speakers are engaged in a conversation, with one person speaking at a time. They occasionally gesture with their hands to emphasize their points. Their posture and body language suggest that they are actively listening to each other.	Both speakers appear to be relaxed and comfortable. They occasionally smile and nod in agreement. Their facial expressions convey a sense of interest and engagement in the conversation.	The speakers seem to be having a friendly conversation, with no visible signs of tension or conflict. They appear to be familiar with each other, as they maintain eye contact and occasionally finish each other's sentences.
Ses04F_script02_2_F031	The woman is seen sitting in the black chair, occasionally gesturing with her hands as she speaks. The man is sitting at a table, holding a piece of paper and occasionally glancing down at it while listening to the woman.	Both the woman and the man appear to be engaged in the conversation, maintaining a serious tone throughout. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The woman and the man seem to be having a focused and possibly intense conversation. They are facing each other and maintaining eye contact, indicating a level of engagement and attentiveness.
Ses01M_script02_2_M021	The man is wearing a headset and appears to be gesturing with his hands as he speaks. The woman is sitting and listening attentively, occasionally nodding her head.	Both individuals maintain a neutral expression throughout the conversation. Their tone of voice is calm and measured, suggesting a serious discussion.	The conversation seems to be one-sided, with the man doing most of the talking. The woman listens attentively and occasionally interjects with brief comments.
Ses03F_impro01_F004	The woman is seen gesturing with her hands, while the man remains seated and listens attentively. At one point, the woman leans forward and speaks directly to the camera, while the man looks on.	The woman appears to be animated and expressive, while the man maintains a calm and composed demeanor. The woman's facial expressions convey a sense of enthusiasm and engagement, while the man's are more reserved.	The two individuals seem to be in a professional setting, possibly conducting an interview or discussing a topic of mutual interest. Their interaction is polite and respectful, with no visible signs of tension or disagreement.
Ses01F_script02_2_F047	The woman is sitting in a wheelchair, wearing a black vest and a black headband. She is facing the camera and appears to be engaged in a conversation. The man is sitting across from her, wearing a gray t-shirt and a black wristband. He is also facing the camera and seems to be actively participating in the conversation.	Both speakers maintain a calm and composed demeanor throughout the video. Their facial expressions are neutral, and they do not display any strong emotions.	The woman and the man appear to be having a serious conversation, possibly discussing an important topic. They are facing each other and maintaining eye contact, indicating a level of engagement and attentiveness.
Ses05M_script03_1_F019	The speakers are engaged in a conversation, and they are facing each other. They are sitting comfortably in their chairs, and their posture suggests that they are actively participating in the discussion.	Both speakers appear to be relaxed and engaged in the conversation. They are smiling and nodding occasionally, indicating a friendly and positive interaction.	The speakers are the only individuals in the room, and they are focused solely on their conversation. There is no visible interaction with others in the scene.
Ses04F_script03_2_F025	Both speakers are sitting upright, facing each other. They appear to be engaged in a conversation, with occasional gestures and hand movements to emphasize their points.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement. The man appears more serious and focused, with a stern expression throughout the conversation.	The two speakers seem to be having a one-on-one conversation, with no other individuals visible in the scene. Their body language suggests a level of familiarity and comfort with each other.
Ses04F_script02_1_F001	Both speakers are sitting upright, facing each other. They appear to be engaged in a serious conversation, with occasional gestures to emphasize their points.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement. The man appears more serious and focused, with a stern expression throughout the conversation.	The two speakers seem to be the only individuals in the room, and their interaction is primarily verbal. There is no visible tension or familiarity between them.
Ses02F_script01_3_F013	The woman is seen sitting in one of the chairs, while the man is standing behind the table with papers in his hands. Both speakers are engaged in a conversation, with the woman occasionally gesturing with her hands to emphasize her points.	The woman appears to be calm and composed, while the man seems to be more serious and focused on the conversation. Both speakers maintain a professional demeanor throughout the video.	The speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their interaction is characterized by a formal and respectful tone.
Ses05M_impro05_F008	The man is seen gesturing with his hands, while the woman is sitting still. There are no physical interactions between them.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman seem to be engaged in a conversation, but there is no visible interaction between them. They appear to be discussing something, but it is not clear what it is.
Ses04F_impro07_F028	The woman is sitting in a chair, leaning slightly forward with her hands resting on her lap. The man is sitting in a similar chair, with his hands resting on the armrests. Both speakers appear to be engaged in the conversation, nodding occasionally and maintaining eye contact.	Both speakers seem to be in control of their emotions, with neutral facial expressions throughout the video. Their tone of voice is steady and measured, suggesting a serious and focused discussion.	There is no visible interaction between the speakers and other individuals in the scene. They appear to be focused solely on their conversation.
Ses04F_script01_1_F004	The woman is sitting in a chair with her arms crossed, while the man is sitting at a desk with a microphone in front of him. Both appear to be engaged in a conversation, with the woman occasionally leaning forward to emphasize a point.	The woman's facial expressions are mostly neutral, but she occasionally raises her eyebrows or purses her lips. The man appears more animated, with a range of facial expressions that suggest he is actively participating in the conversation.	The woman and the man seem to be having a serious conversation, but there is no visible tension or hostility between them. They appear to be listening to each other and engaging in a respectful dialogue.
Ses02F_impro05_F019	The woman is seen speaking into a microphone, while the man listens attentively. Both speakers maintain a relaxed posture throughout the video.	The woman appears to be engaged in the conversation, while the man maintains a neutral expression. There are no visible signs of strong emotions or reactions from either speaker.	The video does not show any other individuals in the scene, so there is no interaction between the speakers and others.
Ses05M_impro05_F011	The speakers are engaged in a conversation, with one person speaking and the other listening attentively. The speaker uses hand gestures to emphasize their points, while the listener occasionally nods in understanding.	Both speakers appear calm and composed, with neutral facial expressions. However, the listener occasionally smiles in response to the speaker's points.	The speakers seem to have a friendly and respectful relationship, as they engage in a collaborative discussion. There is no visible tension or conflict between them.
Ses05M_impro05_M018	The man is sitting in the black chair and talking, while the woman is sitting at the table and listening. The man gestures with his hands, while the woman occasionally nods her head.	The man appears to be relaxed and confident, while the woman seems attentive and engaged. Both speakers maintain a neutral facial expression throughout the conversation.	The speakers seem to be having a friendly conversation, with no visible signs of tension or disagreement. They appear to be comfortable in each other's presence.
Ses03M_script01_2_F006	The woman is holding a white paper and speaking into the microphone. The man is sitting still and listening to her.	The woman appears to be calm and composed, while the man is attentive and focused on the conversation.	The woman is addressing the man, who is listening intently. There is no visible tension or familiarity between them.
Ses04M_script01_3_M021	The man is mostly stationary, occasionally shifting in his chair. The woman is typing on her laptop and occasionally gesturing with her hands as she speaks.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman seem to be engaged in a conversation, but there is no visible interaction between them beyond the verbal exchange.
Ses03F_script01_1_F010	The man is seated on a chair, holding a piece of paper in his hand. He appears to be reading from it. The woman is also seated, facing him. She occasionally nods her head and gestures with her hands as she speaks.	Both individuals seem to be engaged in the conversation, with the woman appearing more animated than the man. They maintain a serious expression throughout the video, indicating the importance of their discussion.	The video does not show any other individuals in the scene, suggesting that the conversation is a private one between the two individuals.
Ses04F_impro07_M007	The woman is speaking into the microphone, while the man is sitting still and listening. The woman occasionally gestures with her hands to emphasize her points, and the man occasionally nods his head in response.	The woman appears to be engaged and passionate about the conversation, while the man seems calm and attentive. Both speakers maintain a neutral facial expression throughout the video.	The speakers are the only two individuals in the scene, and there is no visible interaction between them. They appear to be having a one-on-one conversation.
Ses05M_script01_3_F013	The man is seen wearing a headband and speaking directly to the camera. He maintains a steady posture and uses his hands occasionally to emphasize his points. The woman, on the other hand, is seen smiling and nodding in agreement with the man's statements. She occasionally leans forward to engage more actively in the conversation.	Both the man and the woman appear to be in a positive and relaxed state. The man maintains a calm and composed demeanor, while the woman's smile and nods indicate her agreement and enjoyment of the conversation.	The video does not show any other individuals in the scene, so there is no interaction with others to observe.
Ses04F_impro03_M048	The woman is sitting upright in a chair, with her hands resting on her lap. She occasionally gestures with her hands as she speaks, and her posture remains consistent throughout the video. The man is also sitting upright, with his hands resting on his lap. He occasionally leans forward or gestures with his hands as he speaks.	Both the woman and the man appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man are engaged in a conversation, but there are no other individuals visible in the video. They appear to be focused on each other and the discussion at hand.
Ses05M_impro04_M019	The man and woman are engaged in a conversation, with both parties actively participating. The man occasionally gestures with his hands, while the woman maintains a more reserved posture.	Both speakers seem to be in a neutral emotional state, with no visible signs of strong emotions. Their facial expressions are mostly neutral, and their tone of voice is moderate.	The man and woman appear to be the only individuals in the scene, and their interaction is focused solely on their conversation. There are no visible signs of tension or familiarity between them.
Ses03M_script01_1_M030	The woman is sitting in a green chair and talking into a microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting on a bench and holding a piece of paper, which he occasionally looks at and holds up.	Both the woman and the man appear calm and composed throughout the video. They do not show any strong emotions or facial expressions.	The woman and the man are engaged in a conversation, but they do not show any signs of familiarity or tension. They appear to be discussing a topic in a professional manner.
Ses03F_script03_2_F026	The woman is sitting in the chair, occasionally leaning forward or back. The man is standing behind the desk, occasionally gesturing with his hands. They both seem to be engaged in a conversation.	Both the woman and the man appear calm and composed throughout the video. They do not show any strong emotions or facial expressions.	The woman and the man are the only two individuals in the scene. They seem to be having a one-on-one conversation.
Ses03M_impro08b_M004	The woman is sitting in the black chair, while the man is sitting in the wooden chair. They are both facing each other and engaged in a conversation. The woman is gesturing with her hands, while the man is sitting still.	The woman appears to be calm and composed, while the man seems to be attentive and engaged in the conversation. Both speakers maintain a neutral facial expression throughout the video.	The woman and the man are the only two individuals in the scene. They appear to be having a serious conversation, but there is no visible tension or hostility between them.
Ses04F_impro01_F008	The woman is sitting in a chair, leaning slightly forward with her hands resting on her lap. The man is sitting at a desk, with his hands placed on the table in front of him. Both speakers appear to be engaged in a conversation, with the woman occasionally nodding her head and the man gesturing with his hands.	The woman's facial expressions are mostly neutral, with occasional slight smiles. The man appears more animated, with a range of facial expressions that suggest he is passionate about the topic of conversation.	There is no visible interaction between the speakers and other individuals in the scene. They seem to be focused solely on their conversation.
